[I 231020 09:17:35 metar-display-v4:555] Start of metar-display-v4.py executed code main loop
[I 231020 09:17:35 metar-display-v4:588] Airports File Loaded
[I 231020 09:17:35 metar-display-v4:600] Heat Map File Loaded
[I 231020 09:17:35 metar-display-v4:616] METAR Data Loading
[I 231020 09:17:35 metar-display-v4:644] Internet Available
[I 231020 09:17:35 metar-display-v4:645] https://aviationweather-cprk.ncep.noaa.gov/adds/dataserver_current/httpparam?dataSource=metars&requestType=retrieve&format=xml&mostRecentForEachStation=constraint&hoursBeforeNow=2.5&stationString=KSAT,KHOU,KOLS,KCRP,KBRO,KIAH,KELP,KODO,KABI,KTUS,KLFT,KMSY,KBTR,KFTW,KSHV,KLBB,KMOB,KPNS,KJAN,KAMA,KOKC,KLIT,KMEM,KRSW,KSPG,KTLH,KBHM,KTUL,KXNA,KJAX,KSAV,KHSV,KATL,KMIA,KSGF,KPBI,KMCO,KEYW,KBNA,KCHA,KTYS,KAVL,KGSP,KCAE,KCHS,KCLT,KMYR,KFAY,KGSO,KRDU,KEVV,KSDF,KLEX,KLWB,KLYH,KCMH,KCLE,KPIT,KBUF,KRIC,KORF,KDCA,KROC,KBWI,KABE,KPHL,KACY,KSYR,KEWR,KALB,KJFK,KBDL,KPVD,KBOS,KMHT,KBGR,KPWM,KBTV,KFVE,KCVG,KDAY,KIND,KFWA,KDTW,KSBN,KFNT,KGRR,KSTL,KSPI,KPIA,KORD,KMLI,KMKE,K83D,KMCI,KMSN,KGRB,KCID,KDSM,KCKC,KASX,KMSP,KJMS,KOMA,KMHE,KBIS,KLNK,KPIR,KICT,KRAP,KECS,KLAA,KCYS,KCPR,KDEN,KMOT,KCOS,KBIL,KHDN,KMTJ,K46U,KGPI,KMSO,KGGW,KHVR,KCOE,KGEG,KAFO,KLGU,KSLC,KPSC,KONO,KBOI,KBNO,KPDX,KWMC,KAST,KTMK,KOTH,KNUW,KSEA,KAAT,KCEC,KACV,KRNO,KSMF,KSFO,KMRY,KFAT,KFMN,KBCE,KPGA,KABQ,KFLG,KSJN,KPRC,KLAS,KIGM,KHII,KPHX,KONT,KLAX,KSBA,KNYL,KSAN,KTYL
[I 231020 09:17:36 metar-display-v4:1106] Decoded METAR Data for Display
[I 231020 09:17:36 metar-display-v4:1168] Built Wind Dictionary
[I 231020 09:17:36 metar-display-v4:1317] OLED Displays Used
[I 231020 09:17:36 metar-display-v4:1341] Fonts Loaded
[I 231020 09:17:36 metar-display-v4:1413] Use Welcome Enabled
[I 231020 09:17:55 wipes-v4:42] 
    
    Startup of wipes-v4.py Script, Version v4.400
[I 231020 09:17:55 wipes-v4:43] Log Level Set To: 20
[I 231020 09:17:56 wipes-v4:725] Internet Available
[I 231020 09:17:56 wipes-v4:726] https://aviationweather-cprk.ncep.noaa.gov/adds/dataserver_current/httpparam?dataSource=metars&requestType=retrieve&format=xml&mostRecentForEachStation=constraint&hoursBeforeNow=2.5&stationString=KSAT,KHOU,KOLS,KCRP,KBRO,KIAH,KELP,KODO,KABI,KTUS,KLFT,KMSY,KBTR,KFTW,KSHV,KLBB,KMOB,KPNS,KJAN,KAMA,KOKC,KLIT,KMEM,KRSW,KSPG,KTLH,KBHM,KTUL,KXNA,KJAX,KSAV,KHSV,KATL,KMIA,KSGF,KPBI,KMCO,KEYW,KBNA,KCHA,KTYS,KAVL,KGSP,KCAE,KCHS,KCLT,KMYR,KFAY,KGSO,KRDU,KEVV,KSDF,KLEX,KLWB,KLYH,KCMH,KCLE,KPIT,KBUF,KRIC,KORF,KDCA,KROC,KBWI,KABE,KPHL,KACY,KSYR,KEWR,KALB,KJFK,KBDL,KPVD,KBOS,KMHT,KBGR,KPWM,KBTV,KFVE,KCVG,KDAY,KIND,KFWA,KDTW,KSBN,KFNT,KGRR,KSTL,KSPI,KPIA,KORD,KMLI,KMKE,K83D,KMCI,KMSN,KGRB,KCID,KDSM,KCKC,KASX,KMSP,KJMS,KOMA,KMHE,KBIS,KLNK,KPIR,KICT,KRAP,KECS,KLAA,KCYS,KCPR,KDEN,KMOT,KCOS,KBIL,KHDN,KMTJ,K46U,KGPI,KMSO,KGGW,KHVR,KCOE,KGEG,KAFO,KLGU,KSLC,KPSC,KONO,KBOI,KBNO,KPDX,KWMC,KAST,KTMK,KOTH,KNUW,KSEA,KAAT,KCEC,KACV,KRNO,KSMF,KSFO,KMRY,KFAT,KFMN,KBCE,KPGA,KABQ,KFLG,KSJN,KPRC,KLAS,KIGM,KHII,KPHX,KONT,KLAX,KSBA,KNYL,KSAN,KTYL
[I 231020 09:17:56 wipes-v4:806] maxlat = 48.55 minlat = 24.55 maxlon = -68.3 minlon = -124.25
[I 231020 09:17:56 wipes-v4:807] sizelat = 24.0 sizelon = 55.95 centerlat 36.55 centerlon = -96.28
[I 231020 09:17:57 wipes-v4:835] Executing Radar Wipe
[I 231020 09:18:03 wipes-v4:911] Executing Rainbow Wipe
[I 231020 09:18:08 wipes-v4:916] Turning Off all LEDs
[I 231020 09:18:08 metar-v4:559] Calling wipes script
[I 231020 09:18:08 metar-v4:571] Airports File Loaded
[I 231020 09:18:08 metar-v4:578] METAR Data Loading
[I 231020 09:18:08 metar-v4:647] RPI IP Address = 192.168.86.33
[I 231020 09:18:10 metar-v4:651] Internet Available
[I 231020 09:18:10 metar-v4:652] https://aviationweather-cprk.ncep.noaa.gov/adds/dataserver_current/httpparam?dataSource=metars&requestType=retrieve&format=xml&mostRecentForEachStation=constraint&hoursBeforeNow=2.5&stationString=KSAT,KHOU,KOLS,KCRP,KBRO,KIAH,KELP,KODO,KABI,KTUS,KLFT,KMSY,KBTR,KFTW,KSHV,KLBB,KMOB,KPNS,KJAN,KAMA,KOKC,KLIT,KMEM,KRSW,KSPG,KTLH,KBHM,KTUL,KXNA,KJAX,KSAV,KHSV,KATL,KMIA,KSGF,KPBI,KMCO,KEYW,KBNA,KCHA,KTYS,KAVL,KGSP,KCAE,KCHS,KCLT,KMYR,KFAY,KGSO,KRDU,KEVV,KSDF,KLEX,KLWB,KLYH,KCMH,KCLE,KPIT,KBUF,KRIC,KORF,KDCA,KROC,KBWI,KABE,KPHL,KACY,KSYR,KEWR,KALB,KJFK,KBDL,KPVD,KBOS,KMHT,KBGR,KPWM,KBTV,KFVE,KCVG,KDAY,KIND,KFWA,KDTW,KSBN,KFNT,KGRR,KSTL,KSPI,KPIA,KORD,KMLI,KMKE,K83D,KMCI,KMSN,KGRB,KCID,KDSM,KCKC,KASX,KMSP,KJMS,KOMA,KMHE,KBIS,KLNK,KPIR,KICT,KRAP,KECS,KLAA,KCYS,KCPR,KDEN,KMOT,KCOS,KBIL,KHDN,KMTJ,K46U,KGPI,KMSO,KGGW,KHVR,KCOE,KGEG,KAFO,KLGU,KSLC,KPSC,KONO,KBOI,KBNO,KPDX,KWMC,KAST,KTMK,KOTH,KNUW,KSEA,KAAT,KCEC,KACV,KRNO,KSMF,KSFO,KMRY,KFAT,KFMN,KBCE,KPGA,KABQ,KFLG,KSJN,KPRC,KLAS,KIGM,KHII,KPHX,KONT,KLAX,KSBA,KNYL,KSAN,KTYL
[I 231020 09:18:11 metar-v4:1204] Starting METAR Data Display
[I 231020 09:18:11 metar-v4:1216] KGSP Not Reporting Flight Category through the API.
[I 231020 09:18:11 metar-v4:1223] FAA xml data is NOT providing the forecast field for this airport
[I 231020 09:18:11 metar-v4:1313] Decoded METAR Data for Display
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:13 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:15 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:16 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:18 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:18 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:18 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:18 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:18 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:18 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:18 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:18 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:19 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:19 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:19 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:19 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:19 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:19 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:19 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:19 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:19 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:19 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:19 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:19 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:19 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:19 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:19 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:19 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
